Simples,Novo,Hwloc,Matriz
1479.28,983.665,2635.64,602.641
1176.41,1070.29,3127.03,520.998
1160.41,965.37,3106.38,461.536
1116.63,974.245,3174.95,483.177
1110.41,972.963,3411.96,456.145
1222.42,986.211,3189.22,476.421
1226.11,924.239,3233.13,449.971
1118.18,973.272,3339.72,482.235
1158.36,971.925,3349.99,449.164
997.918,970.898,3136.5,447.068
915.229,971.26,3206.06,433.747
1106.43,1075.26,3299.57,412.105
626.479,624.561,2896.78,510.734
549.659,1034.15,3142.55,740.866
495.085,994.159,3253.67,740.509
1122.42,961.4,3228.6,447.532
1121.53,974.254,3143.94,470.454
1209.39,979.927,2960.91,472.419
1136.87,557.311,2968.4,619.232
782.909,745.153,3064.27,551.629
685.724,978.778,2942.51,462.611
1276.81,997.078,3423.29,579.545
1152.56,967.147,3057.28,448.051
1139.62,997.547,3191.62,553.754
1159.35,954.491,3036.89,461.854
1143.5,1078.78,2110.76,557.144
1139.42,1066.94,3549.01,458.841
1183.18,1083.33,3037.03,443.359
1113.25,1055.55,3229.16,533.224
1151.62,1037.41,3246.56,442.409
1223.64,1070.82,2877.63,451.168
1107.93,1056.15,3223.86,495.642
1208.18,1034.32,3683.33,461.077
1170.61,1040.4,3558.2,455.835
1214.1,1054.02,3516.99,452.458
1234.4,1062.31,3002.11,619.571
1208.21,1002.93,2925.22,512.56
1328.78,975.996,3279.61,613.773
1167.58,976.845,3024.93,596.364
1228.99,976.537,3314.99,519.226
1149.84,966.559,3306.18,539.673
1147.38,1035.97,3307.76,446.126
1169.9,1069.92,3496.77,533.215
1165.71,956.559,2979.5,424.805
1116.83,1091.16,3018.07,465.424
863.338,947.934,3389.92,432.353
1258.64,1073.04,3015.57,624.921
1116.1,1053.05,3448.31,448.659
1158.93,1062.82,2973.23,460.249
1292.91,1055.18,3055.61,477.454
1216.11,1199.01,3216.08,456.648
1099.8,1147.72,3250.85,443.464
1220.92,1140.66,3362.01,470.331
1231.48,1003.17,3008.43,433.287
1304.78,943.13,3216.76,571.551
1257.5,995.698,3060.15,610.774
1187.19,979.219,3141.09,444.58
1252.62,989.568,3421.74,445.101
1174.41,963.873,3066.02,546.41
1258.56,1104.54,3374.85,444.548
1176.24,1055.99,2641.14,517.394
1276.77,1062.36,2989.06,457.366
1205.19,1088.24,3399.99,499.327
1347.76,1054.64,2179.14,482.346
1094.9,1043.75,2742.49,456.446
1222.06,1197.94,2994.12,567.833
1113.08,1037.51,2752.71,502.897
1228.68,1030.19,2999.2,449.151
1204.72,1128.45,3297.33,482.657
1090.75,1018.41,2943.12,459.223
1218.99,1123.52,3271.75,452.949
1263.87,1079.53,2941.75,452.679
1211.97,1017.26,3169.12,445.104
1292.84,1093.68,2922.24,625.795
1213.81,984.994,2977.47,462.041
1261.72,1127.47,3393.81,604.254
1171.14,958.381,2126.46,610.433
1158.58,943.16,2648.91,432.611
1230.07,665.564,3132.29,741.243
1068.47,1130.7,3165.72,521.638
814.491,944.721,3771.38,394.33
1131.14,998.728,3076.05,516.371
1142.76,1087.5,3062.79,457.217
1186.71,1043.47,3222.56,513.652
1192.85,868.196,3012.18,439.886
1091.61,735.091,3068.91,596.484
1396.43,1013.79,3009.24,450.39
1111.97,1038.9,2967.6,464.519
1263.07,1016.01,3142.24,457.327
1294.57,1055.68,3145.14,448.209
1118.05,1127.69,3171.69,444.351
1425.49,985.438,3254.94,606.228
1188.38,969.525,2943.19,459.651
1468.32,1023.73,3319.2,611.038
1465.68,866.986,3063.59,575.557
1309.45,993.545,3119.96,448.872
1361,946.2,3110.48,482.906
1144.72,996.842,3129.11,566.723
1111.09,1191.14,3559.61,621.03
1142.88,1071.48,2552.23,508.265
1122.37,1018.99,3835.29,488.483
1230.95,748.768,2536.04,532.379
1278.26,950.26,3485.72,741.345
1144.07,1086.51,3440.91,691.452
1117.7,1067.2,3344.18,686.686
1111.35,965.455,2745.23,459.42
1114.21,1059.07,3207.49,480.925
1112.72,970.144,3031.25,460.023
1112.86,976.142,2194.21,471.983
1128.41,969.443,3216.83,468.354
1213.39,970.178,2921.93,503.285
1121.59,979.853,3921.63,601.105
1238.46,979.516,3465.29,477.527
1114.52,968.13,3049.25,476.544
1276.17,990.448,3194.4,470.483
1379.35,997.345,3171.83,546.485
1132.98,1336.76,2939.19,471.491
1143.13,981.609,3453.45,473.965
1169.19,1014.92,3391.05,460.221
1233.15,981.492,3006.48,447.179
1228.05,971.535,3230.91,729.29
1129.55,972.551,3031.71,482.021
1109.93,974.277,3036.23,477.789
1165.13,982.939,3172.32,451.249
1119.91,978.1,3018.73,446.999
1113.98,1202.65,2814.02,444.264
1131.04,1294.59,2719.94,458.728
1150.85,1293.95,3113.69,474.792
1181.23,1049.85,2975.44,449.691
1252.41,983.407,3085.87,593.867
1230.97,975.223,3196.79,495.813
1113,974.474,2802.76,462.216
1122.31,897.575,2725.12,489.853
1137.59,985.053,3047.45,455.249
1427.38,974.908,2971.92,475.732
1223.61,986.778,2952.19,628.635
1110.83,974.023,2967.09,454.029
1123.41,979.198,3198.35,489.666
1109.79,974.852,2984.72,598.134
1140.8,972.6,3001.98,518.069
1137.44,1058.32,3745.29,459.109
1152.91,1186.99,2980.06,468.514
1128.57,977.715,3346.04,477.951
1121.47,981.6,2883.3,464.11
1123.55,975.795,3421.44,777.07
1217.95,972.106,3289.41,728.706
1123.11,979.088,3490.1,714.57
1483.91,692.253,1771.95,471.555
1067.65,680.574,1067.59,485.658
934.405,648.188,3341.68,535.89
