Simples,Novo,Hwloc,Matriz
24.2524,21.4827,57.7678,7.3837
27.7681,20.8374,58.9649,7.3126
24.4685,20.7214,57.2293,7.4252
25.2432,20.7359,59.3117,7.379
26.9376,21.0536,56.5404,7.454
23.9206,20.7317,56.3326,7.2999
23.8166,20.8375,58.078,7.2834
23.9044,20.7075,58.957,7.43
24.6952,22.0571,57.4877,7.4596
24.4228,21.0189,59.399,8.1501
23.8775,20.7099,61.1989,8.1698
23.7041,20.7124,61.0077,8.2627
26.7421,21.2835,59.0711,7.4071
26.3807,20.9628,56.9833,7.2952
25.163,21.7489,59.3232,7.4271
25.6589,20.7221,57.2962,7.4991
23.7262,20.6964,54.8602,7.3323
26.6611,20.7435,57.9827,7.9119
25.7537,21.2586,57.8895,7.4437
26.3107,20.6905,58.9561,7.2984
23.8984,20.7383,55.6729,7.5994
25.5008,21.5849,56.6408,7.3528
24.9002,20.8617,59.2899,7.4366
25.2339,20.9284,57.534,7.2992
25.6508,20.9636,56.6455,7.3264
23.8681,20.7968,55.6037,7.6698
24.5202,20.903,57.7354,7.292
24.576,20.7478,56.4013,7.3485
23.7227,20.7612,54.8451,7.3098
23.9853,20.7301,58.6271,7.3935
23.8072,20.785,58.6812,7.3537
24.9525,20.7084,56.1832,7.4319
24.6964,21.018,55.8743,7.3501
24.1405,21.1547,57.0239,7.371
25.2429,20.8004,57.4225,7.3106
23.8297,20.7233,57.0532,7.5268
24.1816,20.7044,58.2605,7.3406
25.8852,20.8605,56.8532,7.5986
23.9727,20.8699,56.6538,7.2778
24.0754,20.8173,57.1993,7.5764
26.0164,20.6989,58.6172,7.6365
24.0238,20.8968,57.3108,7.548
24.3291,21.8706,56.4926,7.4291
25.549,21.0473,56.2871,7.3126
25.7505,21.3566,55.0451,7.4272
27.0925,20.7126,56.566,7.4307
23.9304,21.2539,59.7728,7.3536
23.904,21.144,55.0736,7.3031
23.7626,20.8916,57.4941,7.3118
24.3137,20.732,59.3256,7.345
24.6142,20.7878,59.4105,7.3628
24.4887,21.0231,54.9755,7.4398
23.7468,20.8036,54.9614,7.3486
23.7685,20.7194,58.304,7.3687
23.674,22.1879,55.7167,7.6955
25.562,20.8213,57.296,7.3103
26.2313,20.7154,59.0249,7.8111
25.5913,21.3732,56.4724,7.3059
23.8802,20.7111,56.429,7.7523
24.2488,21.0948,57.2788,7.3078
24.1319,21.2223,59.2134,7.3747
24.217,20.7232,56.4449,7.3197
25.308,20.8486,56.7308,7.6092
25.6517,20.7084,56.6177,7.4339
27.4868,20.74,58.0993,7.3054
24.4701,20.7098,56.3009,7.3591
23.7606,20.7391,57.7544,7.3177
24.0984,20.792,56.2021,7.5351
24.5013,20.757,60.6107,7.347
23.718,20.7806,56.3917,7.3252
24.7545,20.7182,56.6684,7.6405
23.8426,20.9131,58.8641,7.42
26.1491,20.7736,59.0363,7.4908
23.8146,21.1045,56.6534,7.3406
24.0007,20.8992,56.6036,7.4097
25.064,20.7149,56.8032,7.3355
23.7858,20.8857,58.052,7.6512
26.3254,20.888,57.4947,7.2905
24.9584,20.7072,55.6933,7.4247
25.5565,20.7552,56.5155,7.3256
25.31,20.7161,56.5238,7.4038
23.6673,21.5616,56.259,8.0019
24.0343,21.0603,59.6065,7.9821
25.7801,20.9158,59.6867,7.9976
26.415,21.833,60.3496,7.6105
26.2349,20.9137,58.4956,7.9221
25.3957,21.0567,59.2438,7.738
25.741,22.5513,61.3542,7.9443
26.3216,22.5142,61.0425,7.9561
26.6231,22.3779,57.8836,7.9518
26.0519,21.2408,56.3725,7.3675
25.519,21.2432,54.7808,7.657
25.7114,20.8102,57.0279,7.3279
25.6731,20.932,56.3413,7.36
24.5172,20.715,60.1496,7.3359
23.8301,20.7625,55.8751,7.3237
24.563,20.7198,55.4168,7.4525
26.2392,20.7944,55.3279,7.3047
23.9312,20.717,56.3799,7.3812
24.3619,20.7643,54.8656,7.5146
27.5362,20.798,56.8959,7.3328
23.9798,20.8008,56.4044,7.399
24.1674,20.7332,56.8896,7.4563
25.9228,21.2258,59.3129,7.3528
24.5507,20.7186,56.1955,7.4722
23.7285,20.7601,59.7159,7.3347
23.8475,22.2483,56.8218,7.4527
24.8735,21.0358,55.3446,7.3272
26.0625,21.4712,59.7155,7.9396
26.0488,20.9047,56.278,7.9554
26.6231,20.8517,56.8149,7.8831
26.0495,20.9334,58.1424,7.5327
25.6948,22.0171,58.8397,7.4097
24.2208,22.2253,56.8825,7.4327
24.2896,21.0027,57.8337,7.4978
24.2339,21.6076,58.1989,7.6761
25.2959,21.0924,57.5178,7.6397
24.2871,21.4546,56.3512,7.9312
24.376,21.0478,57.2068,7.9012
25.0212,21.1409,59.1806,8.1459
26.1945,21.911,58.757,7.3019
26.2625,22.4695,56.4127,7.4099
26.5351,22.8145,58.0317,7.3244
23.9241,20.8059,58.849,7.2853
24.1165,21.3127,57.826,7.4279
25.5929,21.2085,58.3857,7.3008
24.7349,20.7108,57.2334,7.5098
24.1129,20.7992,58.0211,7.3375
24.2635,20.7237,56.504,7.7404
23.7645,20.6968,58.0273,7.345
23.8582,20.7443,58.3811,7.3486
24.6878,20.7952,58.9166,7.4209
27.5756,20.9375,57.8231,8.0489
23.9332,20.8477,55.9296,7.512
25.6655,21.1358,59.3742,7.3303
23.9625,20.7782,55.8083,7.279
25.1247,20.7153,56.5711,7.362
25.1619,20.7716,58.7457,7.3252
24.6329,20.7091,58.0772,7.3054
23.7692,21.2977,54.9365,7.6097
23.8223,21.3103,55.463,7.3497
23.8388,20.7665,55.8067,7.3624
24.0782,20.719,58.1214,7.9791
24.4068,20.7657,57.7441,7.3
24.3536,20.7072,56.952,7.4323
